Age,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
1,0.314,0.357,0.312,0.313,0.326,0.327,0.417,0.449,0.314,0.3,0.335,0.304,0.304,0.198,0.294,0.432,0.291,0.257,0.33,0.358,0.403,0.305,0.314,0.293,0.437,0.466,0.364,0.382,0.393,0.395,0.326,0.305,0.42,0.433,0.386,0.372,0.318,0.354,0.372,0.298,0.285,0.269,0.342,0.25,0.313,0.424,0.406,0.335,0.405,0.274,0.388,0.398,0.36
2,0.809,0.761,0.9,0.836,0.868,0.848,0.755,0.845,0.834,0.729,0.7,0.901,0.76,0.722,0.673,0.743,0.905,0.917,0.769,0.908,0.882,0.921,0.8,0.782,0.773,0.753,0.932,0.69,0.889,0.97,0.846,0.788,0.768,0.831,0.797,0.634,0.732,0.903,0.606,0.572,0.781,0.496,0.86,0.236,0.893,0.904,1.133,0.965,0.915,0.8,0.932,0.927,0.941
3,2.647,2.366,2.295,2.437,2.395,2.215,2.127,2.028,2.188,2.08,1.913,2.206,2.348,2.449,2.128,2.001,2.411,1.948,2.186,1.856,1.834,2.156,2.132,1.822,1.955,1.975,1.81,2.165,1.995,2.546,2.477,2.188,2.206,2.095,2.117,1.622,1.405,1.747,2.093,1.576,1.645,1.712,1.529,1.804,2.001,1.966,2.355,2.426,2.438,2.252,2.249,2.237,2.097
4,4.491,4.528,4.512,4.169,3.153,4.094,3.852,4.001,4.258,3.968,3.776,4.156,4.226,4.577,4.606,4.146,4.423,4.401,4.615,4.13,3.88,3.972,4.164,3.504,3.65,3.187,3.585,3.791,3.971,4.223,4.551,4.471,4.293,4.034,3.821,3.495,3.305,3.216,3.663,3.726,3.298,3.075,3.533,3.828,4.026,3.89,4.023,4.18,4.569,4.154,4.06,4.083,4.031
5,6.794,6.447,7.274,7.027,6.803,5.341,5.715,6.131,6.528,6.011,5.488,6.174,6.404,6.494,6.714,6.53,6.579,6.109,7.045,6.785,6.491,6.19,6.324,6.23,6.052,5.992,5.273,5.931,6.082,6.247,6.54,7.167,7.22,6.637,6.228,5.387,5.726,4.903,5.871,5.537,5.757,5.175,5.124,5.665,6.117,6.207,6.154,6.033,6.472,6.392,5.999,5.598,5.802
6,9.409,8.52,9.498,9.599,9.61,8.02,6.722,7.945,8.646,8.246,7.453,8.333,8.691,8.62,8.828,8.667,8.474,9.12,8.884,8.903,8.423,8.362,8.43,8.14,8.307,7.914,7.921,7.89,8.033,8.483,8.094,8.436,8.98,8.494,8.394,7.563,7.403,7.488,7.333,8.006,6.694,7.449,7.201,7.229,8.543,7.491,7.56,8.299,7.829,8.117,8.36,7.392,6.764
7,11.562,10.606,11.898,11.766,12.033,8.581,9.262,9.953,10.356,9.766,9.019,9.889,10.107,10.132,10.071,9.685,10.637,9.55,9.933,10.398,9.848,10.317,10.362,9.896,10.243,9.764,9.724,10.235,9.545,10.101,9.641,9.537,10.282,9.729,9.979,9.628,8.582,9.636,9.264,9.451,8.838,8.974,9.457,9.262,9.255,9.644,9.733,9.472,9.656,9.095,9.385,9.19,8.603
8,11.942,10.758,12.041,11.968,12.481,10.162,9.749,10.131,11.219,10.228,9.81,10.791,10.91,11.34,11.052,11.099,11.55,11.867,11.519,12.5,11.837,11.352,12.074,11.94,11.461,12.127,11.212,10.923,10.948,10.482,10.734,10.323,11.743,11.08,11.424,10.643,10.365,10.671,10.081,10.012,12.674,9.894,10.567,10.477,10.293,11.489,11.447,11.631,9.461,11.799,9.486,9.18,9.416
9,13.383,12.34,13.053,14.06,13.589,10.72,10.384,11.919,12.881,11.875,11.077,12.175,12.339,12.888,11.824,12.427,13.057,12.782,13.338,13.469,12.797,13.505,13.072,12.951,12.447,14.242,12.586,12.803,13.481,11.849,12.329,12.223,13.107,12.264,12.3,11.499,11.6,10.894,12.062,11.888,11.518,11.857,11.384,12.325,12.282,11.387,11.291,12.827,10.853,12.548,11.364,11.469,8.67
10,13.756,12.54,14.441,14.746,14.271,12.497,12.743,12.554,13.147,12.53,12.359,12.425,12.976,14.139,13.134,12.778,14.148,14.081,14.897,12.89,12.562,13.408,14.443,13.859,18.691,17.787,15.557,15.525,13.171,13.904,13.443,14.247,12.052,12.756,12.761,13.085,12.33,11.414,12.009,12.795,11.053,12.095,12.066,14.862,14.559,12.725,11.786,12.083,14.436,11.754,11.68,16.456,13.838
+gp,0,18,15.667,15.672,19.016,11.595,11.175,14.367,15.544,14.35,12.886,13.731,14.431,14.76,14.362,13.981,15.478,15.392,18.784,14.608,14.426,13.472,16.588,14.707,16.604,16.477,14.695,23.234,14.989,15.794,13.961,12.523,13.954,11.304,13.416,14.921,11.926,15.078,10.196,11.688,14.988,14.092,22.464,17.887,17.521,15.381,18.764,10.052,12.421,20.644,29.765,34.656,30.078
