Year,1,2,3,4,5,6+
1963,0.27,0.393,0.505,0,0,0
1964,0.27,0.393,0.508,0,0,0
1965,0.269,0.392,0.506,0,0,0
1966,0.269,0.392,0.509,0,0,0
1967,0.269,0.392,0.506,0,0,0
1968,0.269,0.392,0.505,0,0,0
1969,0.268,0.392,0.504,0,0,0
1970,0.268,0.392,0.505,0,0,0
1971,0.268,0.392,0.508,0,0,0
1972,0.268,0.392,0.507,0,0,0
1973,0.268,0.392,0.507,0,0,0
1974,0.268,0.392,0.508,0,0,0
1975,0.227,0.359,0,0,0,0
1976,0.189,0.354,0.412,0,0,0
1977,0.255,0.382,0.376,0,0,0
1978,0.287,0.309,0,0,0,0
1979,0.276,0.361,0,0,0,0
1980,0.242,0.411,0,0,0,0
1981,0.279,0.396,0.517,0,0,0
1982,0.274,0.489,0.593,0,0,0
1983,0.297,0.458,0.534,0,0,0
1984,0.27,0.469,0.509,0,0,0
1985,0.276,0.376,0.652,0,0,0
1986,0.242,0.365,0.437,0,0,0
1987,0.237,0.353,0,0,0,0
1988,0.3,0.339,0.463,0,0,0
1989,0.326,0.431,0.484,0,0,0
1990,0.26,0.371,0.526,0,0,0
1991,0.315,0.366,0.395,0,0,0
1992,0.314,0.408,2.309,0,0,0
1993,0.274,0.429,0.705,0,0,0
1994,0.287,0.362,0.483,0,0,0
1995,0.316,0.404,0.553,0,0,0
1996,0.342,0.38,0.515,0,0,0
1997,0.313,0.453,0.616,0,0,0
1998,0.358,0.375,0.481,0,0,0
1999,0.257,0.389,0.422,0,0,0
2000,0.298,0.422,0,0,0,0
2001,0.232,0.361,0.406,0,0,0
2002,0.243,0.314,0.413,2.205,0,0
2003,0.262,0.345,0.498,0.528,0,0
2004,0.236,0.27,0.686,0.864,3.852,11.3
2005,0.302,0.565,0.814,2.223,4.255,6.71937178714437
2006,0.224,0.116,0.827,2.557,4.208,9.3324405848467
2007,0.288,0.814,1.69,3.949,6.609,10.6009859194356
2008,0.404,0.735,1.699,3.002,5.311,9.29966457354925
2009,0.385,0.984,2.013,3.485,6.565,10.3609424074121
2010,0.292,0.785,1.533,3.137,5.323,8.34345348417303
2011,0.277,0.677,2.057,4.099,5.576,6.47166497865557
2012,0.234,0.556,1.867,3.803,6.456,9.80542363439188
2013,0.334,0.796,1.493,3.375,4.048,8.0718805308791
2014,0.311,0.742,1.772,3.128,3.826,4.64163205575758
2015,0.321,0.756,1.616,3.157,3.983,5.7141235043028
