Year,Rec,Rec_lo,Rec_hi,TSB,TSB_lo,TSB_hi,SSB,SSB_lo,SSB_hi,Removals,Removals_lo,Removals_hi,Fbar,Fbar_lo,Fbar_hi
1963,487477.785413888,358326.549833717,663178.855661975,511959.090775346,438909.271563588,597166.949091313,151903.389141919,116620.458926709,197860.991503239,117830.213660462,104452.740074387,132920.967333003,0.47280132993638,0.40972626032925,0.545586454258448
1964,802109.170176962,590709.715148342,1089162.92450075,661986.20742721,563846.87759881,777206.997563032,163080.62672854,128014.651347035,207751.929441859,144929.109231571,131183.974178274,160114.425822413,0.515498956384257,0.45264369873068,0.587082455314088
1965,1042362.15657097,770072.542167909,1410930.53700176,834009.439815126,718023.803508765,968730.761155398,199187.127288727,161241.738623031,246062.291416329,199187.127288727,177659.131187217,223323.796600838,0.566821975922682,0.498065342861289,0.645070284439309
1966,1271871.50538439,940738.044596283,1719561.71593228,996495.596839963,858764.493659377,1156316.40787806,221239.255725862,180296.861150112,271478.981729922,240866.953532397,215472.80808835,269253.878569168,0.572123729888676,0.505242887493432,0.64785783314166
1967,1074106.81026012,793635.843790896,1453696.23722683,1051785.75857992,916308.154232768,1207293.94018959,249945.956631118,204164.2304149,305993.763497591,287506.28504308,256710.944160526,321995.870528932,0.609442910845875,0.540736056480828,0.68687977642464
1968,544160.761693379,401563.115794247,737395.749061873,879404.277650455,784009.173376951,986406.677129646,260928.055791911,219902.160188837,309607.919453275,293607.758270378,266421.787709387,323567.814996383,0.645835791652701,0.572266778701505,0.728862630687904
1969,480220.186702481,352624.841916733,653985.199860142,735275.104498534,650772.891928564,830749.845300373,257815.631020047,215291.886927082,308738.524925363,226839.954149297,209422.704919391,245705.75964178,0.612828594255674,0.545200315757992,0.688845686773393
1970,1561254.15227179,1151734.93198578,2116384.99475156,1191829.40529255,989255.58012998,1435885.08354268,270222.237156871,226747.42232578,322032.58015058,252205.623488927,221704.789746244,286902.581546577,0.649715957539811,0.580896894507403,0.726688039604409
1971,2034987.02313365,1494855.34361258,2770282.89193152,1330413.02885612,1125137.71560522,1573139.71685502,274031.954271695,230490.286607627,325799.030697545,349409.546897702,300288.812840766,406565.367215317,0.735341692530172,0.660375940042934,0.8188175431376
1972,509405.684157608,373696.780411394,694397.609651358,921722.978284239,816093.328036543,1041024.6224426,242558.937241177,204115.236879059,288243.244037825,362579.848229969,317364.425556326,414237.185254826,0.796036690983247,0.71432731308357,0.887092515973029
1973,740440.086576973,543432.074602096,1008868.53653522,738222.094968149,654241.612312044,832982.572865199,209190.374684066,181178.135445761,241533.630715393,259626.671684436,236256.179115453,285308.976477598,0.780851724937256,0.700706617165723,0.870163633966771
1974,726504.531926603,532202.853916461,991743.713934953,710695.964077649,628629.919968993,803475.522420524,227521.495813085,197184.673984673,262525.631485169,235625.745239601,210477.491995423,263778.759872931,0.744397583840854,0.668090256534526,0.829420512285924
1975,1236753.05590177,898049.079479818,1703201.03458973,806936.292082383,687317.762048016,947372.838931778,208147.033337639,178992.287982839,242050.582041914,245241.814322488,213678.536770559,281467.424857771,0.80154833746395,0.721987105259632,0.889877024964568
1976,846613.878369171,610455.085620919,1174132.34147808,636029.356960562,558694.449093202,724069.021219471,177548.661567232,150732.79820715,209135.155714374,245241.814322488,212832.765965837,282585.941216587,0.855961397701812,0.769631076791171,0.951975480785372
1977,2092771.87244425,1517872.13371416,2885417.03402704,987567.373737789,804712.218549552,1211972.79622429,152512.219547524,129837.636649358,179146.645853765,259367.174782827,213324.551291646,315347.347258009,0.814826558536936,0.733144838318887,0.905608668021966
1978,1333076.51751466,964302.190411407,1842879.77277209,1126921.34600909,939155.174879551,1352227.78307515,153430.043583447,135157.494044888,174172.941281377,355045.063557501,291998.516278647,431704.23864845,0.902135994796358,0.813862374801037,0.999984000127999
