Year,Rec,Rec_lo,Rec_hi,TSB,TSB_lo,TSB_hi,SSB,SSB_lo,SSB_hi,Removals,Removals_lo,Removals_hi,Fbar,Fbar_lo,Fbar_hi
1979,1636384.83876306,1187309.04767142,2255314.52471057,1040279.51559302,885177.970160957,1222558.06972429,155437.655352746,138265.35774804,174742.720049857,340101.710368804,290765.971225393,397808.494949784,0.846089612537791,0.763741421987246,0.937316756477174
1980,2623447.89227478,1894716.91478153,3632457.592893,1255444.1847493,1040772.72496479,1514394.12583968,171785.17626972,153907.030339201,191740.083094193,391601.492140409,324430.299978099,472680.044548697,0.920533394789188,0.83389982312082,1.01616729902979
1981,1056001.32713058,764333.888872455,1458968.15401788,1037163.35362631,896984.624618059,1199248.89745286,186838.52123899,168926.670943352,206649.623909766,395932.887553912,337514.58392812,464462.452621498,0.93719116444666,0.851123531962998,1.03196216028847
1982,1727179.00051444,1266439.5280649,2355538.68440624,1132570.06276286,947803.043849778,1353356.01145207,181861.374997755,163889.877073061,201803.55435455,386930.357098462,327704.642005979,456859.87335392,1.04928607044427,0.954383210532261,1.15362597065633
1983,946948.510956498,705301.041590439,1271388.28602984,885581.703359524,761846.21750223,1029413.72590441,153737.210735377,138111.139678482,171131.235465259,324811.404815041,276910.049116203,380998.988785875,1.04208550655706,0.949063091970392,1.14422551268084
1984,1709993.28231437,1276254.2774088,2291139.84361885,908000.310914298,761709.097524246,1082387.70850996,132190.586849099,118318.095372774,147689.592166391,278173.416903375,236185.312892184,327626.002329035,0.974145112789617,0.886940836121794,1.06992333887938
1985,415816.776036382,306385.686291945,564333.123149024,586542.260562601,519056.489919239,662802.277030415,134054.270409846,120045.726098069,149697.519430516,241832.350853974,209515.290214809,279134.214307696,0.939470368758121,0.854233246601954,1.03321262346721
1986,1861698.87039527,1392122.33450721,2489668.183693,817494.946432097,671484.357626339,995254.736542806,117948.102808873,106247.015820825,130937.841865349,227749.131107575,190591.94346973,272150.363630106,0.992865472445849,0.905349610441999,1.08884107863464
1987,709275.9925943,531862.35306185,945869.604747392,748629.888861545,644154.575272197,870050.034589948,124367.976187261,111732.399367024,138432.483223664,257557.944253884,217456.911100117,305053.972820141,0.976007507976265,0.889409962141181,1.07103663796699
1988,490411.444302064,367375.586433385,654652.605082798,550730.027598125,481386.615181083,630062.311109624,122393.923105869,111714.076756023,134094.760913268,206075.935751312,182710.826690493,232428.981166602,0.996677431986102,0.908910999444759,1.09291878306814
1989,827363.981571983,617441.743176699,1108657.07666731,555153.538269565,469660.794830804,656208.596598414,109754.353765973,99559.6260054015,120993.003428245,179153.811862918,154255.253571806,208071.281605155,1.01397576044837,0.923894861564683,1.11283965908806
1990,327420.317791278,245924.535108502,435922.607133294,371758.60078764,327466.159844638,422041.95183146,99409.2055973667,89727.0891798037,110136.083181041,138275.03666184,120905.436196925,158140.000691875,0.94001917969067,0.853457954849761,1.03535980087252
1991,374370.040368316,282954.107736446,495320.348047105,342490.774309842,299039.215711994,392256.013005089,95606.8739789444,85763.947082944,106579.450490841,118302.478414927,105024.821873804,133258.749211981,0.931419977285537,0.846691396161033,1.02462736484639
1992,856834.445666874,651595.988951691,1126718.51842183,534988.216284967,446930.329932722,640395.991041501,91399.9307698054,82416.5874793828,101362.451421748,140084.347175733,118183.525964756,166043.65256037,0.92108772272882,0.83820548477224,1.01216540379987
1993,434521.193824619,333420.588319435,566277.771970947,414571.195013992,364767.703065653,471174.597670988,98814.5361561134,89788.124350052,108748.374313737,148301.10808305,127906.140937609,171948.105833235,0.939082447607056,0.854514335576687,1.03201995178759
1994,1018661.43012181,774195.728653078,1340321.4081575,529135.594340347,447526.932838517,625625.982825351,101722.113810755,93172.6963374038,111056.015816667,153430.043583447,132161.77244205,178120.93345177,0.961933459141804,0.877851354318985,1.05406909183885
1995,596002.416160595,455413.009774424,779992.825073696,564107.435040395,487179.540281534,653182.598932542,121297.319914339,111138.22768301,132385.049907097,190232.064888958,162909.481937214,222137.091601972,1.00858161272344,0.920414653640229,1.10519412690862
1996,372875.551177875,286009.412471514,486124.479137735,420836.636272054,371917.747523749,476189.898459923,116657.78344517,107363.762797155,126756.347614716,155593.170752839,137975.857060907,175459.934082783,1.00826022897868,0.920883540215159,1.10392752714706
1997,1160080.54962077,873759.111049278,1540226.43608524,643064.301144597,525791.486694992,786493.706860788,101518.8728918,93268.9001926751,110498.585615688,153430.043583447,128316.866066035,183458.176588445,0.985219322656749,0.900772095086544,1.07758346315442
1998,141209.516630059,107355.388750249,185739.419502113,328075.813704275,288901.766208744,372561.722104364,102847.233878106,93051.8366324753,113673.774738653,135672.612285965,116389.080530078,158151.070879376,1.00409255171097,0.918819302506772,1.09727979119595
1999,251450.140409691,193327.321948257,327047.271305894,226839.954149297,203275.198990866,253136.462558659,85819.3684919473,78573.2036651458,93733.7879176186,94845.0702649178,86632.9926950742,103835.583577487,1.06202344622424,0.971729310933741,1.16070780992107
2000,457256.599878395,351456.068678701,594906.780009234,289525.889406943,246955.145017608,339435.084986405,68254.5924890338,62000.3928315563,75139.675461426,84965.451507911,73560.8327981991,98138.2031079985,1.06939706607038,0.97762902592705,1.16977918473266
2001,167041.906993578,128335.088354768,217422.990467863,198590.461353264,176133.234176953,223911.015571772,63513.0070920493,57588.1444512571,70047.4395956449,72185.8989207883,63668.6773961223,81842.5042911231,0.999708312549059,0.910570702901077,1.09757178327344
2002,246964.529491422,190136.972631559,320776.532742565,168889.51116347,148613.462095651,191931.919079293,56387.3431461705,51162.4938195366,62145.7679193475,56443.7586923885,51043.015633411,62415.9418441415,0.945717859675945,0.85974710236346,1.04028529744547
2003,123253.68622784,94570.4179994198,160636.608044221,142343.723541649,127824.81849525,158511.749676016,56783.4392672262,51587.5684019318,62502.635322777,53316.4397135853,47824.9141872752,59438.5330750624,0.922863447156503,0.833608009253134,1.02167557490317
2004,201793.464429082,155639.855706458,261633.513481866,123995.431355356,108845.421140075,141254.145888366,46212.2410607711,41454.4287312227,51516.1175589991,39418.8733646416,35862.5193553687,43327.8979075694,0.888331761917741,0.800873717818533,0.985340512086433
2005,154507.821711054,117922.15708039,202444.286645981,139107.180817848,121516.337774177,159244.494275747,47619.6133252245,41865.7772460728,54164.2296502835,40054.6479722026,35432.614906329,45279.6054826453,0.825463691694428,0.741882799831508,0.918460849153731
2006,358254.891689804,276697.463841676,463851.62204852,146678.735303318,123856.138787601,173706.782730213,43260.7051650723,37522.5738432094,49876.3389526384,31761.1778299719,28204.8717754516,35765.8926861385,0.73224508901657,0.652074799810501,0.822272031590095
2007,168552.069695092,130595.494923028,217540.430588695,195047.812539233,172163.519682669,220973.927847557,72765.702233123,64232.0765732919,82433.0724453202,53103.5999181083,46486.8148614272,60662.197069613,0.67671166352845,0.600335868230751,0.762804123140323
2008,196025.493768166,151699.974918436,253302.574556876,205664.19575705,180467.863616844,234378.357280261,81226.7576843753,71690.964463032,92030.9304433813,52312.9903152326,47548.4276438558,57554.9832314014,0.641131945519584,0.564360526681981,0.728346778578572
2009,193300.258017704,149561.057528882,249831.007931295,220356.066259477,193500.233854185,250939.210615848,90944.0717133035,79475.4938767482,104067.603437872,54830.3965101662,49571.8296121697,60646.7908282328,0.626579260174012,0.548357408135666,0.715959269365941
2010,296262.154962773,228415.130456244,384262.042045416,236097.468295896,203917.748929349,273355.383866287,93060.0255544062,79737.717799275,108608.179356062,48727.556941879,44262.0088474277,53643.6295448901,0.542346599202769,0.469241367529061,0.62684122505161
2011,148152.881100811,114402.704685028,191859.766243303,223910.119929501,194119.261662266,258272.885325883,105661.936689653,88340.8582139719,126379.175963704,44801.6388855186,40439.8110188862,49633.9324110841,0.442825274925098,0.378748076772437,0.517743154720513
2012,203210.97417604,157358.197756336,262424.840995691,199585.900183275,172234.465666648,231280.838000602,106830.634044349,88281.3365365944,129277.430746494,40336.0141406867,37275.0693452467,43648.3168331155,0.403656907778517,0.344371590385818,0.473148493505997
2013,263023.852246496,203288.209019918,340312.638810292,259886.428212738,223094.783889137,302745.561289045,117477.252725604,97189.6982743548,141999.668205545,41606.0138706801,38210.5142932125,45303.2476067647,0.393356088399797,0.337681545736403,0.458209855512719
2014,391601.492140409,295327.444173941,519259.999948647,329390.745068579,278089.421215457,390156.024140062,126880.375962659,105516.012749815,152570.490344405,45935.7977735973,41634.1490446741,50681.8937222101,0.395379189951958,0.34064309228842,0.458910535355014
2015,169058.485147545,118172.417235434,241856.535298262,288081.873009269,245193.751637178,338471.77997967,151145.767827872,125031.376901826,182714.480943569,52312.9903152326,46831.3439383075,58436.2677980521,0.384542870308772,0.326742134071304,0.452568566112871
2016,145364.549392928,64872.5594180344,325728.665706607,267801.148264801,210811.574154851,340196.952180938,161135.354186265,129713.052328217,200169.54271521,NA,NA,NA,NA,NA,NA
