Year,1,2,3,4,5,6+
1963,0.0791270888102913,0.442962572040278,0.510686183366188,0.464752626951301,0.461386127406635,0.472999948201869
1964,0.0885400754076148,0.477911361441965,0.561850207113807,0.50672846036494,0.500023590836483,0.508912084171094
1965,0.104089934366567,0.528131485874664,0.623267174874171,0.549075128912569,0.531357620231831,0.532607779000596
1966,0.10850055400259,0.540548994168932,0.631422543187122,0.544405992899693,0.528126204586212,0.533215298088743
1967,0.119075206273231,0.575457443820542,0.672502130151255,0.580375483244832,0.570934949290924,0.573704972494192
1968,0.13074583908306,0.611854971026393,0.71105890820641,0.614602230563071,0.602263633580954,0.596223310527186
1969,0.123291969586018,0.586214215935846,0.671138335546909,0.581136273336593,0.5760792735875,0.572032197414687
1970,0.143158910998092,0.637768445246863,0.710831405758117,0.600543620380208,0.585886027876155,0.570261643379375
1971,0.182263834775096,0.737469903805625,0.800138853100088,0.668412353657346,0.643553574857297,0.617269228104148
1972,0.215391064156928,0.812223281015116,0.860114292765741,0.715767417990983,0.689485232273934,0.659673673714668
1973,0.222350569667084,0.814859152251147,0.836114260497835,0.69157754077433,0.661060444028661,0.625308594437938
1974,0.218865038869999,0.792803405849445,0.789425352582833,0.650958100887988,0.630129452844041,0.599247846100206
1975,0.251000587303126,0.86069076243767,0.848351690333281,0.695593389398209,0.673370217695234,0.63110059979264
1976,0.288027303361846,0.934089519553319,0.907783831281672,0.726003821788289,0.701383826797495,0.650431038315428
1977,0.272804461138376,0.896488332968393,0.865801163613694,0.682194821437812,0.67508275204609,0.630564392203326
1978,0.307094426657083,0.972074336077462,0.96899677041692,0.765328596095986,0.755662825730609,0.692560278460854
1979,0.282578186589494,0.90836136543476,0.917288723211061,0.712610707472936,0.688541284257751,0.628022051045885
1980,0.313235492226732,0.97356664241533,1.00504659136135,0.782986362600976,0.737344544577814,0.667370443287029
1981,0.312234740708011,0.97911223551916,1.02924651942422,0.803217293118041,0.738473545196252,0.668445775110558
1982,0.350322892425165,1.07107626705573,1.15939695087071,0.917384126199145,0.83253501329495,0.746932843124395
1983,0.339731391026462,1.05681535094948,1.14914708271543,0.920296848104278,0.826421785163572,0.736872795045237
1984,0.305960276749656,0.985153315173407,1.06623633095054,0.87104642739224,0.783291786836245,0.700255507377211
1985,0.285161383808617,0.945098617301874,1.02180942317035,0.851504920730022,0.762349627336135,0.68036218337144
1986,0.296591354021964,0.977982013715873,1.07789924136838,0.92271580081698,0.819771201679408,0.725960262865762
1987,0.280214471324884,0.952041169359776,1.05783249648565,0.918149543695125,0.812125820069168,0.71786051328343
1988,0.2830306735811,0.964143631633383,1.08515409505471,0.940734806547898,0.822596070602035,0.719103486833523
1989,0.289528946227077,0.979204276395153,1.1010034596331,0.961719933616085,0.84384200481198,0.734085332729719
1990,0.261845668580326,0.918128426498468,1.01797870556808,0.883945384935709,0.768434462043388,0.66428101744098
1991,0.250875118379319,0.896353869803437,1.00749655955588,0.890412892213455,0.784663747578722,0.673094192495011
1992,0.240628747508515,0.876963418119912,0.998768658723565,0.887532622998471,0.778170209853747,0.652437454207775
1993,0.239907943013336,0.882585156687485,1.02718392038476,0.907478867151205,0.789725391220545,0.648794015613789
1994,0.240797246599573,0.890234827442083,1.06474570925654,0.930815681835363,0.807703696474879,0.650866973132955
1995,0.248652236323745,0.9227647060504,1.12992357760595,0.97305857324558,0.841937075262298,0.662291160666211
1996,0.232352421901497,0.894589790868194,1.13628026270652,0.993912703125207,0.88850056098791,0.693239320209857
1997,0.211951034569366,0.846961533801071,1.11311233820636,0.995587463970274,0.90231644003924,0.69027859638798
1998,0.209380941393635,0.843209360579614,1.13860064042301,1.03046380808606,0.93308404668509,0.695843848098254
1999,0.215412604340335,0.863293977416319,1.20992696707768,1.11285635180814,1.01560551386135,0.740944170484664
2000,0.211210502635217,0.855302561110221,1.21686758056012,1.13603030854469,1.03201788774975,0.73039485048004
2001,0.190443445977431,0.797574525329632,1.13310312803521,1.06845213678425,0.963449698064669,0.664885788295856
2002,0.17553795353469,0.751149935005776,1.07335150406713,1.01265541042735,0.90939294089286,0.616183789728643
2003,0.170742278950281,0.734680182730957,1.05649518440582,0.977413971198234,0.861793151992392,0.568053315130287
2004,0.166210536842399,0.716311607994664,1.02951209928456,0.919179366441413,0.811525069267527,0.525718174371248
2005,0.152972058262975,0.674414750836722,0.963411160847496,0.838576053486162,0.758418450610974,0.486299786792703
2006,0.133560596200707,0.61142682241617,0.857512090785541,0.727799267690976,0.672582835249082,0.427795500566075
2007,0.118623579124433,0.560867829082846,0.797702147463183,0.671568001560118,0.61926003850326,0.383870508773667
2008,0.107970201712235,0.525360807531172,0.761260246462009,0.63677430210554,0.597416950390223,0.368560648059695
2009,0.102222854598984,0.505453112258349,0.745969920975084,0.628304724565627,0.587199883547583,0.352008484493434
2010,0.0827774166968324,0.436568493839461,0.646960524163692,0.543508463676644,0.505240866525924,0.298167461192881
2011,0.0618650425208312,0.356293660186159,0.526654786058734,0.445530309318743,0.415812849898063,0.246424406469009
2012,0.0542311398251232,0.324133438744194,0.480551921104747,0.406289223437029,0.371320391538731,0.215520337573569
2013,0.0516481965899463,0.3137684454454,0.471927456058571,0.394364370035939,0.352043687101985,0.199308779709823
2014,0.0516947008906736,0.314019560634439,0.47858090591976,0.393544944644102,0.344348862610877,0.191781226869795
2015,0.0495833592765553,0.304860799998944,0.46571566128575,0.383049904244908,0.338781473636546,0.190157994950257
